# n ord_us dc_us
2 0.181 0.202
2 0.240 0.206

4 0.409 0.549
4 0.634 1.742

8 0.414 1.494
8 3.011 8.220

16 1.374 9.577
16 20.467 55.729

32 8.292 68.608
32 159.343 505.018

64 59.874 526.232
64 1332.036 4809.582

128 500.815 3252.073
128 8355.779 21643.574

256 3399.643 25273.898
256 55777.781 151123.020

512 26576.665 202668.387
512 456992.472 1316738.544

1024 226674.327 1622685.753
1024 5138330.731 10370444.768

2048 1839412.432 13239301.367
2048 47068032.645 96931606.874

4096 19281484.417 105173351.678
4096 1279609147.672 592268821.517
