# n ord_us dc_us st_us
2 0.097 0.143 0.389
4 0.175 0.216 0.116
8 0.578 0.643 0.583
16 3.800 3.967 3.919
32 28.804 29.624 29.558
64 260.061 247.195 241.135
128 1906.232 1945.525 1681.036
256 14333.824 14335.094 11282.474
512 112449.667 117791.102 80058.171
1024 911992.361 966336.624 582503.266
2048 7064415.417 7498541.844 3900767.956
4096 55985836.551 60154578.093 27065769.372
