# n ord_us dc_us st_us
2 0.186 0.214 0.217
4 0.589 0.625 0.633
8 4.030 3.657 3.882
16 27.151 27.273 27.341
32 205.322 206.936 206.995
64 1828.483 1689.619 1591.774
128 3207.343 3069.659 2712.168
256 24268.228 24596.722 19099.621
512 191948.401 203003.825 137453.102
1024 1537707.421 1632962.778 964960.269
2048 12452560.455 13248458.054 6799771.285
