# n ord_us dc_us st_us
2 0.084 0.100 0.097
4 0.275 0.285 0.287
8 1.845 1.679 1.704
16 12.340 12.407 12.424
32 80.025 79.798 76.934
64 311.731 266.375 257.262
128 1857.849 1779.319 1593.447
256 14110.858 14394.934 11172.380
512 114517.868 121445.707 81292.663
1024 891991.000 950197.111 556191.835
2048 6997867.435 7510610.867 3884056.091
